frameNUM,carID,carCenterX,carCenterY,carW,carL,course,headX,headY,tailX,tailY,lostCountert,boundingBox1X,boundingBox1Y,boundingBox2X,boundingBox2Y,boundingBox3X,boundingBox3Y,boundingBox4X,boundingBox4Y,Lat,Lng
5,10,1647,445,65.13124847,73.96362305,123.6900635,1680,467,1614,422,3,1659,493,1597,452,1634,396,1696,437,28.17220693,113.0488335
6,0,2666,1041,44,107,90,2721,1041,2611,1041,1,2719,1063,2612,1063,2612,1019,2719,1019,28.17184057,113.0489567
6,1,2481,1055,41.30501175,105.4832382,88.15238965,2533,1053,2428,1057,1,2429,1077,2428,1037,2532,1033,2534,1074,28.17207879,113.0490331
6,2,1740,1379,48.89396667,129.4947815,63.43494987,1798,1350,1681,1408,1,1688,1434,1666,1391,1789,1330,1810,1373,28.17223129,113.0497001
6,3,3002,1313,44.32325363,109.6467209,96.84277344,3056,1320,2947,1306,1,3053,1341,2946,1328,2951,1286,3058,1299,28.17214557,113.0487276
6,4,704,1200,43.41088104,115.6672974,105.5615082,757,1215,651,1185,0,755,1237,643,1206,655,1165,766,1196,28.17207969,113.0497805
6,5,3673,685,45.35368347,109.6696472,105.9453964,3725,700,3620,669,1,3718,723,3614,693,3626,651,3730,681,28.1720436,113.0495799
6,6,129,156,39.45799255,99.83181763,129.4724579,165,185,92,126,1,156,204,80,141,105,111,181,174,28.17215639,113.0497724
6,7,1981,158,40.72935486,89.51972198,170.7538872,1988,204,1973,112,1,1967,204,1953,115,1993,108,2007,197,28.17215279,113.0491186
6,8,126,1542,43.53930664,73.97000122,111.447731,162,1556,90,1527,1,153,1578,85,1551,101,1511,169,1537,28.17224122,113.0494282
6,9,2831,520,40.42309189,87.48017883,113.1985931,2888,544,2773,495,1,2868,559,2763,514,2779,475,2885,520,28.17203638,113.0494058
6,10,1646,445,65.13124847,73.96362305,123.6900635,1679,467,1613,422,4,1658,493,1596,452,1633,396,1695,437,28.17219249,113.0489761
7,0,2666,1041,44,107,90,2722,1041,2611,1041,1,2719,1063,2612,1063,2612,1019,2719,1019,28.17214827,113.0495412
7,1,2481,1055,41.30501175,105.4832382,88.3153156,2533,1053,2428,1057,1,2429,1077,2428,1037,2533,1034,2534,1074,28.17207879,113.0488406
7,2,1742,1378,48.89396667,129.4947815,63.43494987,1801,1348,1682,1408,1,1689,1433,1667,1390,1791,1328,1813,1371,28.17225835,113.0507214
7,3,3006,1314,44.32325363,109.6467209,97.85331726,3059,1321,2952,1306,1,3056,1341,2949,1327,2955,1284,3062,1299,28.17199938,113.0500636
7,4,700,1199,43.41088104,115.6672974,105.8519363,753,1214,647,1184,0,750,1236,640,1205,651,1164,761,1196,28.17224572,113.0501725
7,5,3672,688,45.35368347,109.6696472,106.2602081,3725,703,3619,672,1,3718,724,3613,694,3626,652,3730,682,28.17205262,113.0502723
7,6,130,155,39.45799255,99.83181763,129.5596657,166,185,93,125,1,157,204,80,141,105,111,182,174,28.17224752,113.0509617
7,7,1981,160,40.72935486,89.51972198,171.6341143,1988,205,1974,114,1,1967,204,1954,116,1995,110,2008,198,28.17205983,113.0509627
7,8,127,1543,43.53930664,73.97000122,110.5560455,163,1556,90,1529,1,154,1578,85,1552,100,1511,169,1537,28.17220963,113.0499322
7,9,2832,519,40.42309189,87.48017883,113.4286957,2890,544,2774,494,1,2869,558,2764,512,2780,474,2886,520,28.17203638,113.0504627
7,10,1647,445,65.13124847,73.96362305,123.6900635,1680,467,1613,422,5,1658,493,1596,452,1633,396,1695,437,28.1720824,113.0502825
8,0,2666,1041,44,107,90,2721,1041,2611,1041,1,2718,1063,2612,1063,2612,1020,2718,1020,28.17206164,113.0507336
8,1,2480,1055,41.30501175,105.4832382,88.36342287,2533,1053,2427,1057,1,2428,1078,2427,1037,2532,1034,2533,1075,28.17223941,113.0504149
8,2,1742,1380,48.89396667,129.4947815,63.43494987,1801,1350,1682,1409,1,1687,1435,1665,1391,1792,1328,1814,1371,28.17209322,113.0508365
8,3,3011,1314,44.32325363,109.6467209,99.09027863,3064,1322,2957,1305,1,3060,1343,2954,1326,2961,1283,3067,1300,28.17201292,113.0505167
